country,year,indicator,value
ABW,1960,dependency_ratio,83.0461589735044
ABW,1961,dependency_ratio,81.9690917425185
ABW,1962,dependency_ratio,81.0583167234617
ABW,1963,dependency_ratio,79.7943477163765
ABW,1964,dependency_ratio,78.152923352812
ABW,1965,dependency_ratio,76.3547096617772
ABW,1966,dependency_ratio,74.5909929204593
ABW,1967,dependency_ratio,73.469387755102
ABW,1968,dependency_ratio,73.0199179847686
ABW,1969,dependency_ratio,72.6414266920041
ABW,1970,dependency_ratio,72.1922009639258
ABW,1971,dependency_ratio,71.5111020336708
ABW,1972,dependency_ratio,69.8095544568938
ABW,1973,dependency_ratio,67.2691800080335
ABW,1974,dependency_ratio,64.7690048571106
ABW,1975,dependency_ratio,62.3680472383923
ABW,1976,dependency_ratio,60.0263201184405
ABW,1977,dependency_ratio,57.9060865814869
ABW,1978,dependency_ratio,56.1598342145115
ABW,1979,dependency_ratio,54.7032226026502
ABW,1980,dependency_ratio,53.6206984973588
ABW,1981,dependency_ratio,53.1031170210077
ABW,1982,dependency_ratio,52.7165786063204
ABW,1983,dependency_ratio,52.1591353677621
ABW,1984,dependency_ratio,51.5467643232304
ABW,1985,dependency_ratio,50.6884093350259
ABW,1986,dependency_ratio,49.621770066159
ABW,1987,dependency_ratio,48.5436649424999
ABW,1988,dependency_ratio,47.7390438247012
ABW,1989,dependency_ratio,47.557551937114
ABW,1990,dependency_ratio,48.3884698148455
ABW,1991,dependency_ratio,50.238252661818
ABW,1992,dependency_ratio,51.0352827876029
ABW,1993,dependency_ratio,50.4215576196795
ABW,1994,dependency_ratio,49.7915138411644
ABW,1995,dependency_ratio,48.4495619338157
ABW,1996,dependency_ratio,46.6724378566507
ABW,1997,dependency_ratio,45.3563969547935
ABW,1998,dependency_ratio,44.3940185451221
ABW,1999,dependency_ratio,43.6697806335828
ABW,2000,dependency_ratio,43.3179869318272
ABW,2001,dependency_ratio,43.2308391159286
ABW,2002,dependency_ratio,43.0780227806007
ABW,2003,dependency_ratio,42.8753336810776
ABW,2004,dependency_ratio,42.6913039565648
ABW,2005,dependency_ratio,42.6369612856099
ABW,2006,dependency_ratio,42.7685060178669
ABW,2007,dependency_ratio,42.9917617327489
ABW,2008,dependency_ratio,43.260508496231
ABW,2009,dependency_ratio,43.5354448619784
ABW,2010,dependency_ratio,43.4533955008381
ABW,2011,dependency_ratio,43.0477704342006
ABW,2012,dependency_ratio,42.8649842877335
ABW,2013,dependency_ratio,43.0385229703024
ABW,2014,dependency_ratio,43.5153583617747
ABW,2015,dependency_ratio,44.2477876106195
ABW,2016,dependency_ratio,45.1551319021681
ABW,2017,dependency_ratio,46.125005039442
ABW,2018,dependency_ratio,47.1166704939956
ABW,2019,dependency_ratio,48.0999783009656
ABW,2020,dependency_ratio,48.8784687945596
ABW,2021,dependency_ratio,49.3199495334618
ABW,2022,dependency_ratio,49.8010748935576
ABW,2023,dependency_ratio,50.499754678629
ABW,2024,dependency_ratio,51.2895227154925
ABW,1960,gdp_growth,
ABW,1961,gdp_growth,
ABW,1962,gdp_growth,
ABW,1963,gdp_growth,
ABW,1964,gdp_growth,
ABW,1965,gdp_growth,
ABW,1966,gdp_growth,
ABW,1967,gdp_growth,
ABW,1968,gdp_growth,
ABW,1969,gdp_growth,
ABW,1970,gdp_growth,
ABW,1971,gdp_growth,
ABW,1972,gdp_growth,
ABW,1973,gdp_growth,
ABW,1974,gdp_growth,
ABW,1975,gdp_growth,
ABW,1976,gdp_growth,
ABW,1977,gdp_growth,
ABW,1978,gdp_growth,
ABW,1979,gdp_growth,
ABW,1980,gdp_growth,
ABW,1981,gdp_growth,
ABW,1982,gdp_growth,
ABW,1983,gdp_growth,
ABW,1984,gdp_growth,
ABW,1985,gdp_growth,
ABW,1986,gdp_growth,
ABW,1987,gdp_growth,16.0784313755902
ABW,1988,gdp_growth,18.6486486682331
ABW,1989,gdp_growth,12.1298405451924
ABW,1990,gdp_growth,3.96140172360629
ABW,1991,gdp_growth,7.96287173232642
ABW,1992,gdp_growth,5.88235395341866
ABW,1993,gdp_growth,7.30769324531406
ABW,1994,gdp_growth,8.20390129312089
ABW,1995,gdp_growth,2.54714368704694
ABW,1996,gdp_growth,1.18578851134656
ABW,1997,gdp_growth,7.04687499241221
ABW,1998,gdp_growth,1.99198444906199
ABW,1999,gdp_growth,1.2380418420716
ABW,2000,gdp_growth,7.62292064930222
ABW,2001,gdp_growth,4.1820016304779
ABW,2002,gdp_growth,-0.944953481157384
ABW,2003,gdp_growth,1.11050459944282
ABW,2004,gdp_growth,7.29372807096192
ABW,2005,gdp_growth,-0.383137672063768
ABW,2006,gdp_growth,1.12741146411624
ABW,2007,gdp_growth,3.0895443848509
ABW,2008,gdp_growth,1.83575517191368
ABW,2009,gdp_growth,-11.6777413693852
ABW,2010,gdp_growth,-2.73345679250639
ABW,2011,gdp_growth,3.36923718421511
ABW,2012,gdp_growth,-1.04079988436683
ABW,2013,gdp_growth,6.43146080719245
ABW,2014,gdp_growth,1.42609951155575
ABW,2015,gdp_growth,3.61147906591042
ABW,2016,gdp_growth,1.23433537363427
ABW,2017,gdp_growth,3.49342985290626
ABW,2018,gdp_growth,3.21247111920076
ABW,2019,gdp_growth,1.22914408896015
ABW,2020,gdp_growth,-23.9400592677491
ABW,2021,gdp_growth,14.833691976226
ABW,2022,gdp_growth,10.6079607621246
ABW,2023,gdp_growth,9.51636022347185
ABW,2024,gdp_growth,6.81077669324554
ABW,1960,gdp_pc,
ABW,1961,gdp_pc,
ABW,1962,gdp_pc,
ABW,1963,gdp_pc,
ABW,1964,gdp_pc,
ABW,1965,gdp_pc,
ABW,1966,gdp_pc,
ABW,1967,gdp_pc,
ABW,1968,gdp_pc,
ABW,1969,gdp_pc,
ABW,1970,gdp_pc,
ABW,1971,gdp_pc,
ABW,1972,gdp_pc,
ABW,1973,gdp_pc,
ABW,1974,gdp_pc,
ABW,1975,gdp_pc,
ABW,1976,gdp_pc,
ABW,1977,gdp_pc,
ABW,1978,gdp_pc,
ABW,1979,gdp_pc,
ABW,1980,gdp_pc,
ABW,1981,gdp_pc,
ABW,1982,gdp_pc,
ABW,1983,gdp_pc,
ABW,1984,gdp_pc,
ABW,1985,gdp_pc,
ABW,1986,gdp_pc,16150.6510725001
ABW,1987,gdp_pc,18992.0683778812
ABW,1988,gdp_pc,22468.5071202357
ABW,1989,gdp_pc,24730.3964479092
ABW,1990,gdp_pc,24763.6538099384
ABW,1991,gdp_pc,25460.3630272927
ABW,1992,gdp_pc,25743.4455010025
ABW,1993,gdp_pc,25870.1533960504
ABW,1994,gdp_pc,26581.9767488997
ABW,1995,gdp_pc,26504.1864180809
ABW,1996,gdp_pc,25779.5979282247
ABW,1997,gdp_pc,26547.4166076696
ABW,1998,gdp_pc,26418.0883302727
ABW,1999,gdp_pc,26384.8105935137
ABW,2000,gdp_pc,28104.8954362859
ABW,2001,gdp_pc,29007.7386958774
ABW,2002,gdp_pc,28535.4639480222
ABW,2003,gdp_pc,28525.8077063839
ABW,2004,gdp_pc,29959.7748189582
ABW,2005,gdp_pc,29081.7066997897
ABW,2006,gdp_pc,28885.9118700469
ABW,2007,gdp_pc,29556.8384686554
ABW,2008,gdp_pc,29870.6648077005
ABW,2009,gdp_pc,26204.0597361984
ABW,2010,gdp_pc,25429.2180974853
ABW,2011,gdp_pc,26093.0542083227
ABW,2012,gdp_pc,25444.7336646687
ABW,2013,gdp_pc,26680.1411206342
ABW,2014,gdp_pc,26773.8229102391
ABW,2015,gdp_pc,27458.2201537506
ABW,2016,gdp_pc,27587.2498040483
ABW,2017,gdp_pc,28548.8904317739
ABW,2018,gdp_pc,29419.208623316
ABW,2019,gdp_pc,29700.3634670565
ABW,2020,gdp_pc,22718.2294445007
ABW,2021,gdp_pc,26303.0397202375
ABW,2022,gdp_pc,29198.9903584827
