Time,Ist,ARIMA,SARIMA,SARIMAX
2021-12-18 00:00:00,23807.916666666668,23442.984054924582,23674.2614735121,23677.740595759435
2021-12-18 01:00:00,23004.583333333332,22496.387078152122,22855.46660450282,22834.561684064698
2021-12-18 02:00:00,22451.083333333332,22003.7660738349,22343.691415244604,22300.98372764323
2021-12-18 03:00:00,22314.416666666668,21941.42181618684,22153.682025862352,22106.379665305947
2021-12-18 04:00:00,22535.416666666668,22243.798486389114,22522.520637467784,22471.594910416716
2021-12-18 05:00:00,23202.916666666668,22821.172633965805,23720.74385811166,23662.5381938604
2021-12-18 06:00:00,24302.666666666668,23570.27110707491,25785.86214902348,25755.725734907086
2021-12-18 07:00:00,25018.75,24388.103232731883,27084.031479035406,27028.49283738808
2021-12-18 08:00:00,24840.75,25181.50938799719,26780.238957523008,26617.859241016416
2021-12-18 09:00:00,23937.0,25875.240708012694,25965.17791878526,25725.356524657986
2021-12-18 10:00:00,22731.583333333332,26416.322978241024,25050.912183896635,24730.48096653566
2021-12-18 11:00:00,21795.5,26775.802140794483,24348.77930902861,23980.85811140071
2021-12-18 12:00:00,21172.333333333332,26947.622016940764,24035.603172121017,23642.145522254545
2021-12-18 13:00:00,21141.0,26945.49592368039,24180.602999603114,23786.730357485634
2021-12-18 14:00:00,21642.666666666668,26798.262884194966,24732.476967073708,24336.979512246628
2021-12-18 15:00:00,23123.0,26544.525590633548,25777.39136546388,25393.399371205716
2021-12-18 16:00:00,25474.0,26227.17857079865,27508.343909457173,27231.820533484348
2021-12-18 17:00:00,28197.5,25888.41677995069,29721.59797981577,29485.395192199303
2021-12-18 18:00:00,28532.25,25565.630756489387,29873.287081700157,29650.89033243683
2021-12-18 19:00:00,28277.083333333332,25288.460351806443,29453.646476767863,29237.446561391032
2021-12-18 20:00:00,27976.833333333332,25077.106742761694,28868.104101752368,28673.60590169595
2021-12-18 21:00:00,27471.833333333332,24941.86665707125,27925.918778851606,27744.22711627942
2021-12-18 22:00:00,26295.0,24883.7329693594,26303.05959746341,26130.287645195283
